column,label,unit,note
gdp,地区生产总值(亿元),亿元,地区生产总值，按当年价格计算。
gdp_growth,GDP增速(%),%,由地区生产总值指数(上年=100)换算得到，计算方式为指数-100。
primary_value,第一产业增加值(亿元),亿元,第一产业增加值，按当年价格计算。
secondary_value,第二产业增加值(亿元),亿元,第二产业增加值，按当年价格计算。
tertiary_value,第三产业增加值(亿元),亿元,第三产业增加值，按当年价格计算；缺少官方第三产业列时由GDP-第一产业-第二产业计算。
primary_share,第一产业占GDP比重(%),%,第一产业增加值/GDP*100。
secondary_share,第二产业占GDP比重(%),%,第二产业增加值/GDP*100。
tertiary_share,第三产业占GDP比重(%),%,第三产业增加值/GDP*100。
retail,社会消费品零售总额(亿元),亿元,社会消费品零售总额。
income,居民人均可支配收入(元),元,居民人均可支配收入。
consumption_expenditure,居民人均消费支出(元),元,居民人均消费支出。
cpi,居民消费价格指数(上年=100),上年=100,居民消费价格总指数。
unemployment,失业率代理指标(%),%,失业相关人数/(就业人员+失业相关人数)*100。2024年分子为年末领取失业保险金人数，就业人员来自年鉴C04-03。
fixed_invest,固定资产投资增速(%),%,固定资产投资比上年增长情况，替代原计划中的固定资产投资完成额。
fiscal_revenue,地方一般公共预算收入(亿元),亿元,地方一般公共预算收入。
